"id","name","city_ids/id"
"l10n_cl_electronic_invoicing.ur_Iqu","Iquique","l10n_cl_toponym.CL01101,l10n_cl_toponym.CL01107,l10n_cl_toponym.CL01401,l10n_cl_toponym.CL01402,l10n_cl_toponym.CL01403,l10n_cl_toponym.CL01404,l10n_cl_toponym.CL01405"
"l10n_cl_electronic_invoicing.ur_LaL","La Ligua","l10n_cl_toponym.CL05401,l10n_cl_toponym.CL05402,l10n_cl_toponym.CL05403,l10n_cl_toponym.CL05404,l10n_cl_toponym.CL05405"
"l10n_cl_electronic_invoicing.ur_LaS","La Serena","l10n_cl_toponym.CL04101,l10n_cl_toponym.CL04103,l10n_cl_toponym.CL04104,l10n_cl_toponym.CL04105,l10n_cl_toponym.CL04106"
"l10n_cl_electronic_invoicing.ur_LaU","La Unión","l10n_cl_toponym.CL14201,l10n_cl_toponym.CL14203,l10n_cl_toponym.CL14204"
"l10n_cl_electronic_invoicing.ur_Lan","Lanco","l10n_cl_toponym.CL14103"
"l10n_cl_electronic_invoicing.ur_Leb","Lebu","l10n_cl_toponym.CL08201,l10n_cl_toponym.CL08203,l10n_cl_toponym.CL08204,l10n_cl_toponym.CL08205,l10n_cl_toponym.CL08206,l10n_cl_toponym.CL08207"
"l10n_cl_electronic_invoicing.ur_Lin","Linares","l10n_cl_toponym.CL07401,l10n_cl_toponym.CL07402,l10n_cl_toponym.CL07403,l10n_cl_toponym.CL07407,l10n_cl_toponym.CL07408"
"l10n_cl_electronic_invoicing.ur_Lod","Los Andes","l10n_cl_toponym.CL05301,l10n_cl_toponym.CL05302,l10n_cl_toponym.CL05303,l10n_cl_toponym.CL05304"
"l10n_cl_electronic_invoicing.ur_Log","Los Ángeles","l10n_cl_toponym.CL08301,l10n_cl_toponym.CL08302,l10n_cl_toponym.CL08303,l10n_cl_toponym.CL08304,l10n_cl_toponym.CL08305,l10n_cl_toponym.CL08306,l10n_cl_toponym.CL08307,l10n_cl_toponym.CL08308,l10n_cl_toponym.CL08309,l10n_cl_toponym.CL08310,l10n_cl_toponym.CL08311,l10n_cl_toponym.CL08312,l10n_cl_toponym.CL08313,l10n_cl_toponym.CL08314"
"l10n_cl_electronic_invoicing.ur_Oso","Osorno","l10n_cl_toponym.CL10301,l10n_cl_toponym.CL10302,l10n_cl_toponym.CL10303,l10n_cl_toponym.CL10304,l10n_cl_toponym.CL10305,l10n_cl_toponym.CL10306,l10n_cl_toponym.CL10307"
