"id","parent_id/id","code","name","vat_affected","tax_category","internet_available","active"
eco_acti_11101,,11101,Cultivo de trigo,SI,1,1,1
eco_acti_11102,,11102,Cultivo de maíz,SI,1,1,1
eco_acti_11103,,11103,Cultivo de avena,SI,1,1,1
eco_acti_11104,,11104,Cultivo de cebada,SI,1,1,1
eco_acti_11105,,11105,"Cultivo de otros cereales (excepto trigo, maíz, avena y cebada)",SI,1,1,1
eco_acti_11106,,11106,Cultivo de porotos,SI,1,1,1
eco_acti_11107,,11107,Cultivo de lupino,SI,1,1,1
eco_acti_11108,,11108,Cultivo de otras legumbres (excepto porotos y lupino),SI,1,1,1
eco_acti_11109,,11109,Cultivo de semillas de raps,SI,1,1,1
eco_acti_11110,,11110,Cultivo de semillas de maravilla (girasol),SI,1,1,1
eco_acti_11111,,11111,"Cultivo de semillas de cereales, legumbres y oleaginosas (excepto semillas de raps y maravilla)",SI,1,1,1
eco_acti_11200,,11200,Cultivo de arroz,SI,1,1,1
eco_acti_11301,,11301,Cultivo de papas,SI,1,1,1
eco_acti_11302,,11302,Cultivo de camotes,SI,1,1,1
eco_acti_11303,,11303,Cultivo de otros tubérculos (excepto papas y camotes),SI,1,1,1
eco_acti_11304,,11304,Cultivo de remolacha azucarera,SI,1,1,1
eco_acti_11305,,11305,Cultivo de semillas de hortalizas,SI,1,1,1
eco_acti_11306,,11306,Cultivo de hortalizas y melones ,SI,1,1,1
eco_acti_11400,,11400,Cultivo de caña de azúcar,SI,1,1,1
eco_acti_11500,,11500,Cultivo de tabaco,SI,1,1,1
eco_acti_11600,,11600,Cultivo de plantas de fibra,SI,1,1,1
eco_acti_11901,,11901,Cultivo de flores,SI,1,1,1
eco_acti_11902,,11902,Cultivos forrajeros en praderas mejoradas o sembradas; cultivos suplementarios forrajeros,SI,1,1,1
eco_acti_11903,,11903,Cultivos de semillas de flores; cultivo de semillas de plantas forrajeras,SI,1,1,1
eco_acti_12111,,12111,Cultivo de uva destinada a la producción de pisco y aguardiente,SI,1,1,1
eco_acti_12112,,12112,Cultivo de uva destinada a la producción de vino,SI,1,1,1
eco_acti_12120,,12120,Cultivo de uva para mesa,SI,1,1,1
eco_acti_12200,,12200,Cultivo de frutas tropicales y subtropicales (incluye el cultivo de paltas),SI,1,1,1
eco_acti_12300,,12300,Cultivo de cítricos,SI,1,1,1
eco_acti_12400,,12400,Cultivo de frutas de pepita y de hueso,SI,1,1,1
eco_acti_12501,,12501,Cultivo de semillas de frutas,SI,1,1,1
eco_acti_12502,,12502,Cultivo de otros frutos y nueces de árboles y arbustos,SI,1,1,1
eco_acti_12600,,12600,Cultivo de frutos oleaginosos (incluye el cultivo de aceitunas),SI,1,1,1
eco_acti_12700,,12700,"Cultivo de plantas con las que se preparan bebidas (incluye el cultivo de café, té y mate)",SI,1,1,1
eco_acti_12801,,12801,Cultivo de especias,SI,1,1,1
eco_acti_12802,,12802,"Cultivo de plantas aromáticas, medicinales y farmacéuticas",SI,1,1,1
eco_acti_12900,,12900,Cultivo de otras plantas perennes,SI,1,1,1
eco_acti_13000,,13000,Cultivo de plantas vivas incluida la producción en viveros (excepto viveros forestales),SI,1,1,1
eco_acti_14101,,14101,Cría de ganado bovino para la producción lechera,SI,1,1,1
eco_acti_14102,,14102,Cría de ganado bovino para la producción de carne o como ganado reproductor,SI,1,1,1
eco_acti_14200,,14200,Cría de caballos y otros equinos,SI,1,1,1
eco_acti_14300,,14300,"Cría de llamas, alpacas, vicuñas, guanacos y otros camélidos",SI,1,1,1
eco_acti_14410,,14410,Cría de ovejas (ovinos),SI,1,1,1
eco_acti_14420,,14420,Cría de cabras (caprinos),SI,1,1,1
eco_acti_14500,,14500,Cría de cerdos,SI,1,1,1
eco_acti_14601,,14601,Cría de aves de corral para la producción de carne,SI,1,1,1
eco_acti_14602,,14602,Cría de aves de corral para la producción de huevos,SI,1,1,1
eco_acti_14901,,14901,Apicultura,SI,1,1,1
eco_acti_14909,,14909,Cría de otros animales n.c.p.,SI,1,1,1
eco_acti_15000,,15000,Cultivo de productos agrícolas en combinación con la cría de animales (explotación mixta),SI,1,1,1
eco_acti_16100,,16100,Actividades de apoyo a la agricultura,SI,1,1,1
eco_acti_16200,,16200,Actividades de apoyo a la ganadería,SI,1,1,1
eco_acti_16300,,16300,Actividades poscosecha,SI,1,1,1
eco_acti_16400,,16400,Tratamiento de semillas para propagación,SI,1,1,1
eco_acti_17000,,17000,Caza ordinaria y mediante trampas y actividades de servicios conexas,SI,1,1,1
eco_acti_21001,,21001,Explotación de viveros forestales,SI,1,1,1
eco_acti_21002,,21002,Silvicultura y otras actividades forestales (excepto explotación de viveros forestales),SI,1,1,1
eco_acti_22000,,22000,Extracción de madera,SI,1,1,1
eco_acti_23000,,23000,Recolección de productos forestales distintos de la madera,SI,1,1,1
eco_acti_24001,,24001,Servicios de forestación a cambio de una retribución o por contrata,SI,1,1,1
eco_acti_24002,,24002,Servicios de corta de madera a cambio de una retribución o por contrata,SI,1,1,1
eco_acti_24003,,24003,Servicios de extinción y prevención de incendios forestales,SI,1,1,1
eco_acti_24009,,24009,Otros servicios de apoyo a la silvicultura n.c.p.,SI,1,1,1
eco_acti_31110,,31110,"Pesca marítima industrial, excepto de barcos factoría",SI,1,1,1
eco_acti_31120,,31120,Pesca marítima artesanal,SI,1,1,1
eco_acti_31130,,31130,Recolección y extracción de productos marinos,SI,1,1,1
